"","CS_ID","age","workclass","education_num","marital_status","relationship","occupation","race","gender","hours_per_week","income","education_cat","hours_per_week_imp"
"79","CS250",25,"Private",7,"M","Husband","Professional","White","f",40,46.05,"postuniversitara",FALSE
"80","CS251",26,"Private",5,"M","Wife","White-Collar","Black","f",40,47.74,"universitaria",FALSE
"81","CS252",44,"Government",13,"W","Wife","Service","Black","f",30,40.91,"primaria",FALSE
"82","CS256",4,"Private",16,"S","Husband","Service","White","f",40.5,37.41,"secundaria",FALSE
"83","CS257",16,"Private",16,"X","Own-child","Service","White","f",30.5,39.81,"secundaria",FALSE
"84","CS258",29,"Private",3,"W","Not-in-family","White-Collar","White","f",45.5,45.87,"universitaria",FALSE
"85","CS260",20,"Private",5,"D","Not-in-family","Professional","White","f",40,38.24,"universitaria",FALSE
"86","CS268",17,"Private",5,"S","Husband","Professional","White","f",45,36.86,"universitaria",FALSE
"87","CS269",17,"Private",16,"M","Not-in-family","Blue-Collar","White","f",40,44.2,"secundaria",FALSE
"88","CS274",14,"Private",16,"D","Own-child","Professional","White","f",40,37.1,"secundaria",FALSE
"89","CS277",19,"Private",2,"S","Husband","White-Collar","White","f",40.5,43.7,"universitaria",FALSE
"90","CS278",9,"Private",2,"S","Not-in-family","Service","White","f",40,38.2,"universitaria",FALSE
"91","CS279",8,"Private",2,"M","Own-child","Blue-Collar","White","f",48.5,46.12,"universitaria",FALSE
"92","CS280",6,"Private",5,"S","Wife","Professional","White","f",15,39.19,"universitaria",FALSE
"93","CS282",18,"Private",4,"D","Husband","Sales","Black","f",45.5,41.56,"universitaria",FALSE
"94","CS283",45,"Private",5,"D","Unmarried","Professional","White","f",42,42.86,"universitaria",FALSE
"95","CS288",9,"Private",5,"S","Not-in-family","White-Collar","White","f",40.5,47.26,"universitaria",FALSE
"96","CS291",15,"Private",16,"D","Husband","Professional","White","f",40.5,42.26,"secundaria",FALSE
"97","CS294",11,"Private",5,"S","Own-child","Service","Black","f",40,37.89,"universitaria",FALSE
"98","CS296",21,"Self-Employed",5,"D","Husband","Sales","White","f",60,38.07,"universitaria",FALSE
"99","CS297",23,"Other/Unknown",6,"M","Not-in-family","Other/Unknown","Asian-Pac-Islander","f",40,42.94,"postuniversitara",FALSE
"100","CS301",5,"Private",2,"S","Husband","Service","Asian-Pac-Islander","f",25,34.55,"universitaria",FALSE
"101","CS304",8,"Private",2,"M","Husband","White-Collar","Asian-Pac-Islander","f",40.5,43.41,"universitaria",FALSE
"102","CS305",27,"Private",16,"D","Wife","White-Collar","White","f",40.5,43.41,"secundaria",FALSE
"103","CS307",30,"Private",4,"S","Not-in-family","Professional","White","f",33.5,36.06,"universitaria",FALSE
"104","CS312",3,"Other/Unknown",2,"S","Husband","Other/Unknown","Black","f",25.5,35.93,"universitaria",FALSE
"105","CS313",20,"Self-Employed",5,"D","Own-child","Professional","Black","f",40.5,34.86,"universitaria",FALSE
"106","CS317",6,"Private",10,"M","Husband","Blue-Collar","White","f",40,42.58,"primaria",FALSE
"107","CS318",13,"Private",2,"S","Other-relative","Service","White","f",40.5,35.65,"universitaria",FALSE
"108","CS319",47,"Private",16,"W","Not-in-family","Service","White","f",24,42.24,"secundaria",FALSE
"109","CS323",13,"Private",14,"S","Not-in-family","White-Collar","White","f",40.5,39.56,"secundaria",FALSE
"110","CS326",7,"Other/Unknown",3,"S","Husband","Other/Unknown","Black","f",15.5,35.92,"universitaria",FALSE
"111","CS327",27,"Private",2,"M","Own-child","Professional","White","f",50.5,43.77,"universitaria",FALSE
"112","CS344",6,"Government",2,"S","Not-in-family","Service","Black","f",40,42.07,"universitaria",FALSE
"113","CS347",14,"Other/Unknown",3,"D","Husband","Other/Unknown","White","f",40.5,36.71,"universitaria",FALSE
"114","CS358",26,"Private",16,"M","Husband","White-Collar","White","f",35.5,47.03,"secundaria",FALSE
"115","CS360",20,"Private",13,"M","Husband","Service","White","f",24,45.8,"primaria",FALSE
"116","CS367",6,"Private",4,"S","Husband","Sales","White","f",15,38.59,"universitaria",FALSE
"117","CS368",42,"Private",5,"D","Not-in-family","White-Collar","White","f",45,44.2,"universitaria",FALSE
"118","CS369",23,"Private",16,"D","Not-in-family","Sales","White","f",40.5,40.87,"secundaria",FALSE
"119","CS370",10,"Government",2,"S","Unmarried","White-Collar","White","f",15,45.41,"universitaria",FALSE
"120","CS375",4,"Government",2,"S","Not-in-family","White-Collar","White","f",10,47.02,"universitaria",FALSE
"121","CS376",17,"Private",16,"M","Own-child","Blue-Collar","White","f",40,43.8,"secundaria",FALSE
"122","CS381",30,"Private",10,"D","Not-in-family","Blue-Collar","White","f",45,40.73,"primaria",FALSE
"123","CS383",30,"Private",2,"D","Husband","Sales","White","f",40.5,40.03,"universitaria",FALSE
"124","CS384",20,"Government",2,"M","Not-in-family","Blue-Collar","White","f",40.5,47.27,"universitaria",FALSE
"125","CS385",7,"Private",16,"S","Wife","Service","White","f",25.5,38.18,"secundaria",FALSE
"126","CS387",28,"Private",2,"M","Not-in-family","White-Collar","White","f",6,47.51,"universitaria",FALSE
"127","CS388",3,"Private",2,"S","Wife","White-Collar","White","f",16.5,39.88,"universitaria",FALSE
"128","CS389",3,"Private",16,"S","Own-child","Service","White","f",40,36.69,"secundaria",FALSE
"129","CS390",19,"Private",16,"M","Other-relative","Service","White","f",40,42.73,"secundaria",FALSE
"130","CS394",18,"Private",16,"S","Husband","Service","White","f",35.5,36.2,"secundaria",FALSE
"131","CS396",29,"Private",2,"D","Husband","Blue-Collar","White","f",40.5,45.66,"universitaria",FALSE
"132","CS397",4,"Other/Unknown",16,"S","Unmarried","Other/Unknown","White","f",35,32.89,"secundaria",FALSE
"133","CS401",12,"Private",2,"S","Own-child","Service","White","f",40,37.99,"universitaria",FALSE
"134","CS403",18,"Private",3,"D","Husband","Service","White","f",64.5,39.08,"universitaria",FALSE
"135","CS408",12,"Other/Unknown",2,"M","Husband","Other/Unknown","White","f",40.5,40.65,"universitaria",FALSE
"136","CS410",25,"Government",2,"D","Husband","Service","Black","f",24.5,43.5,"universitaria",FALSE
"137","CS411",8,"Private",16,"S","Not-in-family","Blue-Collar","Black","f",40.5,41.69,"secundaria",FALSE
"138","CS412",17,"Private",2,"D","Unmarried","White-Collar","White","f",40,44.83,"universitaria",FALSE
"139","CS417",14,"Private",14,"S","Husband","Service","White","f",19,36.45,"secundaria",FALSE
"140","CS419",18,"Government",16,"D","Not-in-family","Blue-Collar","White","f",40.5,47.08,"secundaria",FALSE
"141","CS422",16,"Government",5,"M","Own-child","White-Collar","White","f",40.5,52.76,"universitaria",FALSE
"142","CS424",17,"Private",13,"S","Not-in-family","Blue-Collar","White","f",35,42.44,"primaria",FALSE
"143","CS432",24,"Self-Employed",5,"M","Own-child","Professional","White","f",40.5,42.19,"universitaria",FALSE
"144","CS433",14,"Private",4,"M","Not-in-family","Service","White","f",25,42.97,"universitaria",FALSE
"145","CS437",18,"Government",2,"S","Not-in-family","Service","White","f",40.5,43.75,"universitaria",FALSE
"146","CS439",26,"Government",2,"M","Husband","White-Collar","White","f",40.5,47.11,"universitaria",FALSE
"147","CS441",29,"Private",16,"D","Not-in-family","White-Collar","White","f",28,41.5,"secundaria",FALSE
"148","CS446",28,"Private",16,"W","Not-in-family","White-Collar","Black","f",40,44.14,"secundaria",FALSE
"149","CS449",1,"Other/Unknown",14,"S","Husband","Other/Unknown","White","f",5,28.73,"secundaria",FALSE
"150","CS450",3,"Private",16,"S","Own-child","Blue-Collar","Black","f",40,37.29,"secundaria",FALSE
"151","CS454",28,"Self-Employed",16,"M","Husband","Sales","White","f",40,40.74,"secundaria",FALSE
"152","CS456",14,"Private",16,"M","Husband","White-Collar","White","f",40.5,41.57,"secundaria",FALSE
"153","CS464",8,"Private",5,"S","Unmarried","Service","White","f",20.5,37.57,"universitaria",FALSE
"154","CS465",21,"Private",16,"M","Not-in-family","White-Collar","White","f",60.5,45.51,"secundaria",FALSE
"155","CS469",14,"Private",5,"M","Husband","Service","White","f",16.5,42.54,"universitaria",FALSE
"156","CS474",53,"Private",3,"D","Not-in-family","Service","White","f",24,39.66,"universitaria",FALSE
"157","CS475",30,"Private",5,"S","Not-in-family","Blue-Collar","White","f",40,42.18,"universitaria",FALSE
"158","CS479",7,"Private",16,"S","Not-in-family","Service","White","f",35.5,38.28,"secundaria",FALSE
"159","CS483",25,"Private",16,"M","Not-in-family","Blue-Collar","White","f",40,47.88,"secundaria",FALSE
"160","CS485",9,"Private",2,"M","Other-relative","White-Collar","Black","f",20.5,47.88,"universitaria",FALSE
"161","CS488",29,"Government",5,"D","Husband","Professional","White","f",40.5,44.43,"universitaria",FALSE
"162","CS490",24,"Private",16,"S","Husband","Service","White","f",35.5,37.28,"secundaria",FALSE
"163","CS492",19,"Private",4,"S","Not-in-family","White-Collar","White","f",60.5,47.38,"universitaria",FALSE
"164","CS493",18,"Private",16,"D","Not-in-family","Professional","White","f",25.5,42.15,"secundaria",FALSE
"165","CS495",25,"Private",16,"D","Own-child","White-Collar","White","f",36.5,42.35,"secundaria",FALSE
"166","CS498",10,"Private",2,"S","Own-child","Professional","White","f",35.5,39.26,"universitaria",FALSE
"167","CS503",43,"Private",2,"D","Husband","Service","White","f",42.5,42.15,"universitaria",FALSE
"168","CS504",9,"Private",5,"S","Unmarried","Sales","White","f",40.5,40.48,"universitaria",FALSE
"169","CS508",31,"Government",16,"X","Husband","White-Collar","Black","f",40,43.26,"secundaria",FALSE
"170","CS509",23,"Private",16,"D","Unmarried","Service","White","f",40.5,39.46,"secundaria",FALSE
"171","CS511",37,"Other/Unknown",10,"W","Unmarried","Other/Unknown","Black","f",30.5,33.73,"primaria",FALSE
"172","CS515",42,"Other/Unknown",3,"W","Not-in-family","Other/Unknown","White","f",38.5,35.53,"universitaria",FALSE
"173","CS516",9,"Private",2,"S","Unmarried","White-Collar","Amer-Indian-Eskimo","f",20.5,38.98,"universitaria",FALSE
"174","CS518",5,"Other/Unknown",2,"S","Own-child","Other/Unknown","White","f",35,35.4,"universitaria",FALSE
"175","CS525",12,"Private",2,"M","Unmarried","Sales","White","f",40.5,44.37,"universitaria",FALSE
"176","CS527",60,"Private",2,"D","Husband","White-Collar","White","f",9.5,47.06,"universitaria",FALSE
"177","CS530",28,"Private",14,"D","Husband","Blue-Collar","Other","f",46.5,32.75,"secundaria",FALSE
"178","CS533",25,"Private",4,"M","Husband","White-Collar","White","f",50.5,45.61,"universitaria",FALSE
"179","CS536",42,"Private",9,"W","Husband","Service","Black","f",30.5,38.33,"primaria",FALSE
"180","CS538",15,"Self-Employed",5,"S","Not-in-family","Blue-Collar","White","f",45.5,40.03,"universitaria",FALSE
"181","CS539",18,"Other/Unknown",16,"S","Not-in-family","Other/Unknown","Black","f",40,33.79,"secundaria",FALSE
"182","CS542",14,"Private",2,"S","Own-child","Blue-Collar","White","f",40,40.26,"universitaria",FALSE
"183","CS545",16,"Private",16,"S","Husband","Blue-Collar","White","f",45,42.83,"secundaria",FALSE
"184","CS546",43,"Private",13,"M","Not-in-family","Service","White","f",8,42.57,"primaria",FALSE
"185","CS551",20,"Self-Employed",16,"X","Not-in-family","Service","White","f",40.5,36.76,"secundaria",FALSE
"186","CS552",58,"Private",14,"W","Unmarried","White-Collar","White","f",40.5,42.47,"secundaria",FALSE
"187","CS553",19,"Private",16,"M","Unmarried","Blue-Collar","Black","f",40.5,47.26,"secundaria",FALSE
"188","CS554",17,"Government",3,"D","Wife","Blue-Collar","Black","f",40.5,47.1,"universitaria",FALSE
"189","CS555",55,"Private",14,"S","Unmarried","Blue-Collar","White","f",40.5,44.74,"secundaria",FALSE
"190","CS557",15,"Private",16,"X","Husband","White-Collar","White","f",20,42.22,"secundaria",FALSE
"191","CS558",18,"Private",16,"M","Unmarried","Service","White","f",32.5,40.72,"secundaria",FALSE
"192","CS563",8,"Private",16,"S","Husband","Blue-Collar","Black","f",40.5,38.53,"secundaria",FALSE
"193","CS567",29,"Private",11,"X","Husband","Service","White","f",40,37.86,"primaria",FALSE
"194","CS574",11,"Private",8,"S","Husband","Professional","White","f",70.5,42.51,"postuniversitara",FALSE
"195","CS577",20,"Self-Employed",4,"D","Own-child","Sales","White","f",35,38.2,"universitaria",FALSE
"196","CS578",43,"Government",5,"S","Unmarried","Professional","White","f",40,45.11,"universitaria",FALSE
"197","CS585",5,"Private",2,"S","Not-in-family","Sales","White","f",24.5,35.37,"universitaria",FALSE
"198","CS591",39,"Other/Unknown",16,"M","Husband","Other/Unknown","Asian-Pac-Islander","f",40.5,32.52,"secundaria",FALSE
"199","CS594",7,"Private",5,"S","Husband","White-Collar","White","f",40.5,43.35,"universitaria",FALSE
"200","CS596",7,"Other/Unknown",2,"S","Own-child","Other/Unknown","Amer-Indian-Eskimo","f",25.5,30.23,"universitaria",FALSE
"201","CS599",33,"Private",5,"S","Not-in-family","Professional","White","f",45.5,43.21,"universitaria",FALSE
"202","CS602",45,"Private",11,"D","Own-child","Service","White","f",40.5,38.19,"primaria",FALSE
"203","CS605",32,"Private",16,"S","Not-in-family","White-Collar","Black","f",37.5,44.92,"secundaria",FALSE
"204","CS609",1,"Private",13,"S","Not-in-family","Service","White","f",21.5,35.4,"primaria",FALSE
"205","CS610",36,"Private",6,"D","Own-child","Professional","White","f",60.5,41,"postuniversitara",FALSE
"206","CS614",11,"Private",5,"S","Own-child","Service","White","f",20.5,38.41,"universitaria",FALSE
"207","CS620",7,"Private",5,"S","Husband","Sales","White","f",20,41.41,"universitaria",FALSE
"208","CS621",29,"Private",14,"W","Own-child","Service","Black","f",20.5,34.79,"secundaria",FALSE
"209","CS622",50,"Private",12,"W","Not-in-family","Service","Black","f",24,38.36,"primaria",FALSE
"210","CS630",31,"Self-Employed",2,"S","Husband","Service","Black","f",40.5,39.88,"universitaria",FALSE
"211","CS631",33,"Government",13,"X","Unmarried","Service","Black","f",40,40.17,"primaria",FALSE
"212","CS633",14,"Private",5,"M","Husband","White-Collar","Black","f",40,49.2,"universitaria",FALSE
"213","CS635",3,"Private",16,"S","Husband","Service","White","f",14.5,34.07,"secundaria",FALSE
"214","CS646",15,"Government",16,"D","Not-in-family","White-Collar","White","f",40.5,49.72,"secundaria",FALSE
"215","CS653",22,"Government",2,"X","Husband","White-Collar","White","f",45,48.81,"universitaria",FALSE
"216","CS654",11,"Private",16,"S","Not-in-family","Blue-Collar","White","f",32.5,37.66,"secundaria",FALSE
"217","CS655",13,"Government",2,"S","Own-child","White-Collar","Asian-Pac-Islander","f",40,46.63,"universitaria",FALSE
"218","CS656",56,"Other/Unknown",12,"W","Unmarried","Other/Unknown","White","f",15,32.94,"primaria",FALSE
"219","CS664",4,"Private",2,"S","Not-in-family","Sales","White","f",25.5,37.39,"universitaria",FALSE
"220","CS665",26,"Private",4,"D","Not-in-family","Professional","White","f",40,36.68,"universitaria",FALSE
"221","CS668",4,"Other/Unknown",14,"M","Husband","Other/Unknown","Asian-Pac-Islander","f",40,36.16,"secundaria",FALSE
"222","CS671",1,"Other/Unknown",14,"S","Not-in-family","Other/Unknown","White","f",20,32.24,"secundaria",FALSE
"223","CS675",6,"Private",16,"S","Husband","Sales","White","f",40.5,37.83,"secundaria",FALSE
"224","CS684",2,"Government",14,"S","Unmarried","White-Collar","White","f",5,42.87,"secundaria",FALSE
"225","CS685",18,"Private",16,"D","Own-child","White-Collar","White","f",40.5,41.93,"secundaria",FALSE
"226","CS687",29,"Government",5,"M","Not-in-family","Professional","White","f",55.5,48.55,"universitaria",FALSE
"227","CS691",8,"Private",2,"S","Husband","Blue-Collar","Black","f",45.5,40.99,"universitaria",FALSE
"228","CS694",7,"Government",5,"S","Own-child","Service","White","f",20.5,40.74,"universitaria",FALSE
"229","CS698",14,"Private",5,"S","Husband","Professional","White","f",40,39.94,"universitaria",FALSE
"230","CS699",3,"Private",16,"S","Own-child","Sales","White","f",20,37.8,"secundaria",FALSE
"231","CS701",15,"Private",5,"W","Not-in-family","Sales","White","f",40.5,38.2,"universitaria",FALSE
"232","CS704",30,"Private",8,"D","Husband","Professional","White","f",65.5,43.53,"postuniversitara",FALSE
"233","CS705",28,"Private",5,"D","Unmarried","White-Collar","White","f",50.5,43.12,"universitaria",FALSE
"234","CS711",20,"Private",2,"D","Husband","White-Collar","Black","f",40.5,46.5,"universitaria",FALSE
"235","CS714",20,"Government",5,"D","Husband","White-Collar","White","f",35,48.99,"universitaria",FALSE
"236","CS715",15,"Private",16,"X","Unmarried","Service","Black","f",40,40.8,"secundaria",FALSE
"237","CS717",3,"Government",16,"S","Husband","Service","White","f",40.5,43.23,"secundaria",FALSE
"238","CS718",6,"Private",2,"S","Own-child","Sales","White","f",15,36.64,"universitaria",FALSE
"239","CS726",28,"Private",16,"M","Not-in-family","Sales","White","f",40.5,42.81,"secundaria",FALSE
"240","CS727",4,"Private",2,"S","Wife","Service","White","f",20.5,38.43,"universitaria",FALSE
"241","CS730",7,"Private",2,"S","Husband","Service","White","f",24.5,39.48,"universitaria",FALSE
"242","CS731",39,"Private",2,"D","Not-in-family","White-Collar","Asian-Pac-Islander","f",40.5,46.93,"universitaria",FALSE
"243","CS733",9,"Private",3,"S","Husband","Service","White","f",15,33.72,"universitaria",FALSE
"244","CS734",29,"Other/Unknown",2,"M","Own-child","Other/Unknown","Black","f",40,42.45,"universitaria",FALSE
"245","CS736",20,"Private",2,"S","Husband","Sales","Black","f",36.5,39.31,"universitaria",FALSE
"246","CS738",40,"Private",16,"W","Husband","Service","Black","f",20,38.38,"secundaria",FALSE
"247","CS740",3,"Private",2,"S","Husband","Service","White","f",25.5,39.46,"universitaria",FALSE
"248","CS742",26,"Private",6,"S","Husband","White-Collar","White","f",50.5,47.08,"postuniversitara",FALSE
"249","CS745",26,"Government",5,"M","Own-child","Professional","White","f",40.5,48.9,"universitaria",FALSE
"250","CS747",16,"Private",2,"S","Husband","White-Collar","Black","f",40,48.64,"universitaria",FALSE
"251","CS757",17,"Government",5,"S","Husband","Professional","White","f",45.5,46.4,"universitaria",FALSE
"252","CS758",30,"Government",16,"M","Not-in-family","White-Collar","White","f",40,50.97,"secundaria",FALSE
"253","CS760",20,"Private",16,"S","Not-in-family","Service","White","f",18,37.02,"secundaria",FALSE
"254","CS761",44,"Government",16,"M","Not-in-family","White-Collar","White","f",38,52.78,"secundaria",FALSE
"255","CS765",16,"Private",13,"X","Not-in-family","Service","White","f",42.5,37.82,"primaria",FALSE
"256","CS767",6,"Private",2,"M","Other-relative","Sales","White","f",30,44.21,"universitaria",FALSE
"257","CS768",31,"Self-Employed",5,"D","Wife","Sales","White","f",50.5,37.49,"universitaria",FALSE
"258","CS770",10,"Private",2,"S","Not-in-family","Blue-Collar","White","f",38.5,44,"universitaria",FALSE
"259","CS773",21,"Private",3,"M","Unmarried","Service","White","f",24.5,43.15,"universitaria",FALSE
"260","CS776",20,"Private",2,"D","Not-in-family","White-Collar","White","f",40.5,48.14,"universitaria",FALSE
"261","CS781",12,"Private",3,"S","Husband","Blue-Collar","White","f",42,43.14,"universitaria",FALSE
"262","CS784",24,"Private",5,"S","Husband","Sales","Other","f",55.5,29.53,"universitaria",FALSE
"263","CS785",26,"Private",2,"D","Not-in-family","White-Collar","Black","f",38.5,41.86,"universitaria",FALSE
"264","CS789",5,"Other/Unknown",16,"S","Husband","Other/Unknown","White","f",40,30.85,"secundaria",FALSE
"265","CS793",7,"Private",16,"S","Own-child","Sales","White","f",40.5,39.45,"secundaria",FALSE
"266","CS803",15,"Private",16,"D","Unmarried","White-Collar","White","f",38.5,45.57,"secundaria",FALSE
